id;documento
1;O Brasil inicia o processo de elaboração do 5 Plano de Ação Nacional no âmbito da Parceria para Governo Aberto Open Government Partnership - OGP . O Plano é construído de forma conjunta pelo governo e pela sociedade civil. A primeira etapa do processo consiste na definição dos temas que serão debatidos por especialistas, em momento posterior, para construção dos compromissos. Qualquer cidadão pode contribuir com a definição dos temas priorizados pela sociedade civil até o dia 5 de fevereiro de 2021. O objetivo dessa etapa é identificar questões que a sociedade gostaria de ver aprofundadas e discutidas por atores especializados da sociedade civil e do governo, com a finalidade de construírem, em conjunto, compromissos que farão parte do 5 Plano de Ação Nacional. Os temas sugeridos serão compilados e sistematizados, sendo posteriormente apresentados para priorização por meio de votação aberta. Pelo menos cinco dos temas priorizados pela sociedade integrarão o 5 Plano de Ação Nacional. Também irão fazer parte do Plano os temas priorizados Governo e os temas priorizados pelos Poderes Legislativo e Judiciário. Instruções para participar Governo Aberto O Governo Aberto refere-se a uma nova visão da Administração Pública que promove projetos e ações voltados ao aumento da transparência, à luta contra a corrupção, ao incentivo à participação social e à inovação. Tem o objetivo de tornar os governos mais responsáveis por suas ações e preparados para atender às necessidades dos cidadãos. A Parceria para o Governo Aberto Open Government Partnership - OGP é uma iniciativa internacional que tem o objetivo incentivar globalmente práticas relacionadas à transparência dos governos, ao acesso à informação pública e à participação social. Plano de Ação As ações relativas à OGP são operacionalizadas por meio de um Plano de Ação criado por cada país de acordo com as áreas nas quais precisam desenvolver. Cada nação participante especifica quais são os seus compromissos e delimita as estratégias e atividades para concretizá-los. O Brasil está finalizando a execução do 4 Plano e iniciando a elaboração do 5 Plano Nacional. A participação ampla de atores que representem a diversidade social do país potencializam o alcance das ações implementadas no que diz respeito às políticas de governo aberto. Por esse motivo, considera-se imprescindível que os diversos segmentos sociedade, setor privado, academia participem ativamente da construção do Plano.
2;A Controladoria-Geral da União CGU apoia e participa, entre os dias 29 a 31 de janeiro, do iLabthon, realizado pela rede Conexão Inovação Pública RJ. A iniciativa visa a promoção de uma cultura inovadora, no sentido de estimular laboratórios e unidades de inovação em governo e aumentar sua maturidade de governança. As inscrições são gratuitas e estão abertas até o dia 27 deste mês. Faça sua inscrição O encontro virtual terá formato de maratona de imersão, nos moldes de um hackathon ou Techstars Startup Weekend. A competição entre as equipes contará com suporte de mentoria especializada e avaliação final dos projetos por banca julgadora. A CGU irá apoiar a mentoria sobre inovação e terá um time próprio chamado Sinapes. O iLabthon utilizará a plataforma Discord e as transmissões ao vivo de palestras e comunicados será via YouTube. Cada equipe deverá ter um nome e enviar breve descritivo do laboratório proposto. Durante o evento, as equipes deverão estruturar um laboratório de inovação com as seguintes dimensões obrigatórias estratégia, serviços, estrutura, aprendizagem e comunicação. No encontro, serão realizadas pequenas palestras sobre cada uma das dimensões e mais um workshop de pitch vídeo de até 4 minutos e mais apresentação em PDF . Confira o regulamento, o cronograma e o FAQ do evento Todas as equipes que apresentarem projetos no iLabthon receberão um certificado de participação. As três melhores equipes receberão um certificado especial, além de prêmios adicionais.
3;A Controladoria-Geral da União CGU participa, nesta terça-feira 12 01 , no Piauí, da Operação Campanile. O trabalho é realizado em parceria com a Polícia Federal PF . O objetivo é aprofundar investigações acerca da possível ocorrência de conluio entre gestores da Secretaria de Estado da Saúde Sesapi e empresários em processos de dispensa de licitação durante a pandemia da Covid-19, cujos pagamentos ocorreram anteriormente a qualquer formalização das etapas da contratação. Investigações A partir de denúncia recebida pela PF tratando da negociação de forma oculta entre gestores da Sesapi e empresários, com a emissão de empenhos e a realização de pagamentos antes da formalização dos contratos e de suas publicações nos meios oficiais, a CGU levantou informações nas bases de dados disponíveis e identificou a ocorrência de pagamentos que foram realizados em momento anterior ao da publicação do extrato do contrato no Diário Oficial do Estado do Piauí DOE-PI . Também foram identificados casos de empenhos ainda não pagos, cuja emissão ocorreu em momento anterior ao da publicação do extrato do contrato e casos de empenhos ainda não pagos em relação aos quais nem se identificou a publicação do extrato do contrato. A formalização dos processos de contratação em momento posterior demonstra que a Sesapi contratou as empresas de forma irregular e que, ciente das falhas, tentou dissimular tais ocorrências com publicações retroativas dos extratos dos contratos. Impacto social Em 2020, para o enfrentamento da emergência de saúde pública provocada pelo coronavírus, o Piauí recebeu do Fundo Nacional de Saúde FNS cerca de R 100 milhões. Os dados levantados pela CGU referiram-se a contratações por rgãos da Sesapi que resultaram em pagamentos de pelo menos R 33,7 milhões a empresas envolvidas na investigação, durante o período de março a dezembro deste ano, sendo parte desses recursos de origem federal. A atuação em conluio entre gestores e empresários facilita a ocorrência de contratações com sobrepreço, dentre outros problemas, o que tem como consequência uma menor disponibilidade de equipamentos para a população no enfrentamento à pandemia da Covid-19. Diligências A Operação Campanile consiste no cumprimento de 21 mandados de busca e apreensão, nos municípios de Teresina PI , Parnaíba PI , Joca Marques PI , São Paulo SP e Pelotas RS . O trabalho conta com a participação de 7 auditores da CGU e de 93 policiais federais. A CGU, por meio da Ouvidoria-Geral da União OGU , mantém o canal Fala.BR para o recebimento de denúncias. Quem tiver informações sobre esta operação ou sobre quaisquer outras irregularidades, pode enviá-las por meio de formulário eletrônico. A denúncia pode ser anônima, para isso, basta escolher a opção Não identificado .
4;A Controladoria-Geral da União CGU participa, nesta quinta-feira 14 , no Piauí, da Operação Onzena. O trabalho é realizado em parceria com a Polícia Federal PF , com o qual contribuiu o Tribunal de Contas do Estado TCE PI . O objetivo é aprofundar investigações acerca de indícios de montagem fraudulenta de processo, de conluio para fraudar contratações públicas e de compra superfaturada de equipamentos de proteção individual EPIs e de testes rápidos para detecção do coronavírus promovidas pela Fundação Estatal Piauiense de Serviços Hospitalares Fepiserh , pela Secretaria de Estado da Saúde Sesapi e pela Prefeitura Municipal de Bom Princípio do Piauí PI . As contratações foram custeadas com recursos federais repassados pelo Fundo Nacional de Saúde FNS , inclusive envolvendo emendas parlamentares, e com recursos do auxílio financeiro oriundo do Programa Federativo de Enfrentamento ao Coronavírus estabelecido pela Lei Complementar n 173 2020. Investigações A partir da análise de quatro procedimentos de dispensas de licitação, sendo um realizado pela Fepiserh, dois pela Sesapi e um pela Prefeitura Municipal de Bom Princípio do Piauí PI , justificadas pela emergência sanitária decorrente da pandemia de Covid-19, a CGU e o TCE PI apuraram sobrepreço em diversos dos itens contratados chegando a 507,47 na aquisição de máscaras N95 pela Fundação . Os valores pagos por esses entes públicos até o momento, referentes às dispensas de licitação analisadas, somam R 36.503.412,87, em relação aos quais foi apurado um prejuízo efetivo de R 19.164.308,64, decorrente de superfaturamento. Também foram constatados indícios de montagem fraudulenta de processo, de acerto prévio entre agentes públicos e empresas contratadas, bem como suspeitas de combinação entre essas empresas, de forma a possibilitar que fossem contratadas com preços abusivos. Impacto social Em decorrência das irregularidades detectadas, EPIs contratados pela Sesapi para utilização na prevenção e no combate à Covid-19 em hospitais da rede estadual e hospitais municipalizados deixaram de ser fornecidos integralmente, apesar de pagos. Também se identificou que testes rápidos foram entregues em marca diferente da contratada, avaliados como não conformes pela Agência Nacional de Vigilância Sanitária Anvisa . Em 2020, para o enfrentamento da emergência de saúde pública provocada pelo coronavírus, o Piauí recebeu do FNS cerca de R 100 milhões. As irregularidades apontadas representam riscos de grave impacto social, aumentando as chances de contágio de Covid-19 e sua proliferação, em especial entre os profissionais de saúde. Diligências A Operação Onzena consiste no cumprimento de 17 mandados de busca e apreensão, sendo 13 em Teresina PI , 2 em Picos PI , 1 em Bom Princípio do Piauí PI e 1 em Timon MA . O trabalho conta com a participação de 8 servidores da CGU e de 79 policiais federais. A CGU, por meio da Ouvidoria-Geral da União OGU , mantém o canal Fala.BR para o recebimento de denúncias. Quem tiver informações sobre esta operação ou sobre quaisquer outras irregularidades, pode enviá-las por meio de formulário eletrônico. A denúncia pode ser anônima, para isso, basta escolher a opção Não identificado .
5;A Controladoria-Geral da União CGU convida os cidadãos a participarem do seu Conselho de Usuários de Serviços Públicos. Trata-se de uma nova forma de participação direta da sociedade, juntamente ao gestores responsáveis, na avaliação e melhoria dos serviços oferecidos pelo rgão. A atuação no Conselho é voluntária e considerada serviço relevante e sem remuneração. Para tornar-se conselheiro, basta seguir as seguintes etapas As informações sobre todos os serviços oferecidos pela CGU podem ser encontradas no site https www.gov.br pt-br orgaos controladoria-geral-da-uniao. A CGU lançará, em breve, as primeiras consultas referentes aos serviços Registrar manifestação de ouvidoria na Plataforma Fala.BR e Registrar pedido de acesso a informações de órgãos públicos na Plataforma Fala.BR , que servirão para apontar as falhas e propor soluções para melhor atendimento às necessidades da população. Conselhos de Usuários Os Conselhos de Usuários de Serviços Públicos estão previstos na Lei n 13.460 2017 e foram regulamentados pelo Decreto n 9.492 2018, no âmbito do Poder Executivo Federal. O seu funcionamento é totalmente virtual e sem qualquer burocracia. Qualquer cidadão pode ser conselheiro e, uma vez cadastrado, passa a responder a consultas sobre os serviços públicos e também pode apresentar propostas de melhorias desses serviços. Ao se voluntariar, o usuário torna-se conselheiro de todos os serviços associados àquele s órgão s ou entidade s escolhido s na Plataforma Virtual. Se preferir, também é possível tornar-se conselheiro apenas de serviços específicos. Para saber mais informações acerca do funcionamento dos Conselhos de Usuários de Serviços Públicos, acesse https www.gov.br ouvidorias pt-br ouvidorias conselhos-de-usuarios.
6;Grupo de Trabalho Interministerial GT- tica que revisará o Código de tica Profissional do Servidor Público Civil do Poder Executivo Federal e o Código de Conduta da Alta Administração Federal já definiu a estratégia e as diretrizes de execução do projeto. Durante a primeira reunião, o coordenador do Colegiado e secretário de Controle Interno da Presidência da República Ciset , Edson Teles, apresentou o cronograma para a construção das propostas de normativos. Pensamos em alguns insumos, como oficinas, entrevistas, uma etapa mais para frente de consulta pública, identidade visual, enquetes, pesquisas, inclusive em Direito comparado , detalhou Teles. Segundo ele, o grupo trabalhará com uma agenda que considera a finalização dos trabalhos no prazo inicial de 180 dias, sendo possível apresentar uma minuta de normativo que atenda aos anseios cumprindo o prazo inicial. Instituído pela Portaria Interministerial n 103, publicada em 24 de dezembro de 2020, o GT- tica é formado por integrantes da Secretaria-Geral da Presidência da República SGPR , do Ministério da Economia ME , da Controladoria-Geral da União CGU e da Advocacia-Geral da União AGU que atuam no tema. O secretário-executivo da Comissão de tica Pública CEP , Régis Xavier Holanda suplente de Teles frisou a importância da ampla participação dos diversos atores interessados. A marca que ficará cravada nesse novo normativo é da sua construção, feita de forma amplamente democrática , destacou Holanda. Durante a reunião, o Ministério da Economia foi representado pelo diretor do Departamento de Relações de Trabalho no Serviço Público, Cleber Izzo, que destacou a posição estratégica que o Ministério terá ao longo do processo. Como órgão central, temos contato com mais de 192 unidades de RH. Não dá para desperdiçar o contato com essas unidades, ... lembrando que muitos já participaram das Comissões de tica dos seus órgãos . Pela CGU, participaram a coordenadora-geral de tica Pública e Prevenção do Conflito de Interesses, Tatiana Petry, e o auditor federal de Finanças e Controle, Gustavo Tomas Costa. Petry ressaltou a importância da temática discutida agora em âmbito nacional. Uma das grandes bandeiras da CGU e que se tornou bandeira do governo federal é a integridade pública, em que a ética é ponto central , afirmou. A AGU foi representada pelo diretor do Departamento de Assuntos Jurídicos Internos da Secretaria-Geral de Consultoria, Ciro Carvalho Miranda, e pela advogada-geral da União adjunta, Vladia Pompeu Silva, que pontuou Toda essa organização e todo esse alinhamento inicial já nos diz muito do caminho a ser trilhado, que é pensar uma nova sistematização das normas éticas de uma maneira mais construtiva e mais fácil para o nosso público-alvo . Ao final da plenária, os membros do GT- tica definiram o cronograma de reuniões e etapas para o desenvolvimento dos trabalhos. O próximo encontro está agendado para o dia 2 de fevereiro. Com informações da Secretaria-Geral PR
7;Artigo publicado na 22 Edição da Revista da CGU, de dezembro de 2020, intitulado Inovação em accountability no combate à Covid-19 no Brasil Uma análise empírica do Controle Interno , foi incluído na recomendação do Portal da Organização Mundial de Saúde OMS de literatura global de pesquisa sobre a doença do novo coronavírus. O trabalho escrito pelos auditores Marcus Vinícius de Azevedo Braga, Daniel Matos Caldeira e Sandro Zachariades Sabença compila e descreve as medidas adotadas pelos órgãos de controle interno brasileiros das esferas de governo estadual e federal, a partir de uma classificação de inovação no setor público adotada pela OCDE, e utilizando como referência a relação entre as dimensões de accountability e as macrofunções do controle. O artigo compõe o dossiê Accountability e Controle em Contexto de Pandemia , sob a coordenação científica dos professores Frederico Lustosa da Costa UFF e Eduardo José Grin EAESP FGV , que gravaram vídeos convidando pesquisadores e profissionais a conhecerem seu editorial e trabalhos relacionados, acessíveis pelo canal da CGU no Youtube
8;A Controladoria-Geral da União CGU realiza chamada pública de servidores públicos federais e empregados públicos, residentes no Distrito Federal, para atuarem na sua Diretoria de Tecnologia da Informação DTI . O processo seletivo simplificado é voltado às áreas de Desenvolvimento de Software, Infraestrutura de TIC e Governança de TI. A descrição detalhada dos perfis, bem como as competências necessárias e desejadas, estão no Edital n 9 2021. Não há, no momento, gratificações ou funções para as vagas disponíveis. A DTI, unidade vinculada à Secretaria-Executiva da CGU, é responsável por disponibilizar soluções e serviços de tecnologia da informação, bem como propor as diretrizes, normas e procedimentos que orientem e disciplinem a sua utilização no âmbito do rgão, visando a melhoria da eficiência operacional, dos processos e gestão e das ferramentas de trabalho. Os interessados deverão preencher, no período de 28 de janeiro a 5 de fevereiro, o formulário disponibilizado no endereço https formularios.cgu.gov.br index.php 887243 lang pt-BR. Os candidatos serão selecionados por meio dos currículos e, entre os dias 8 e 26 de fevereiro, convidados para agendamento e realização de entrevistas por videochamada. O resultado do processo seletivo será publicado no dia 5 de março no site da CGU. Eventuais dúvidas poderão ser encaminhadas para o e-mail dti cgu.gov.br.
9;A Controladoria-Geral da União no Estado do Maranhão CGU MA realizará, no dia 5 de fevereiro, a Oficina 100 Primeiros Dias da Gestão Municipal, no âmbito do Programa Time Brasil da Secretaria de Transparência e Prevenção da Corrupção STPC . O objetivo é capacitar os gestores públicos municipais para a correta aplicação dos recursos federais nas áreas da saúde, educação e assistência social. O público-alvo são os gestores públicos municipais, membros do Poder Legislativo e a sociedade em geral. A oficina será realizada em três etapas saúde, educação e assistência social. A área temática da saúde acontecerá no dia 5 de fevereiro, na capital São Luís MA . Os demais temas terão as datas divulgadas em breve. Esta primeira etapa sobre saúde irá abordar os assuntos planejamento em saúde transferência dos recursos federais para as ações e os serviços de saúde do Sistema nico de Saúde SUS Fundo Nacional de Saúde FNS InvestSUS Sistema de Informações sobre Orçamento Público SIOPS boas práticas de gestão aplicação correta dos recursos da COVID-19 e prestação de contas e tomada de contas especial, cuidados e consequências para o gestor. O evento será realizado de forma presencial, com transmissão pelo Youtube da CGU. Para assistir, basta acessar o canal da Controladoria no Youtube cguoficial no horário marcado. Para participar presencialmente é necessário solicitar a inscrição com envio de e-mail para jackeline.carvalho cgu.gov.br. Presencialmente serão poucas vagas em função do distanciamento social necessário para o combate ao coronavírus. SERVI O 100 Primeiros Dias da Gestão Municipal - rea temática Saúde Data 05 02 2021 Horário das 09h às 12h Local Youtube da CGU cguoficial e auditório da CGU MA, localizado na Av. São Carlos, Olho D água, São Luís MA Informações e inscrições para participação presencial jackeline.carvalho cgu.gov.br
10;A Controladoria-Geral da União CGU esclarece que o Portal da Transparência do Governo Federal www.transparencia.gov.br recebeu um volume de acessos muito grande, e fora do habitual, na tarde desta terça-feira, dia 26 1, o que gerou uma lentidão expressiva nas consultas feitas pelos usuários. No início da noite, os acessos continuaram bastante elevados, o que aparentemente acabou por acarretar a instabilidade e a consequente indisponibilidade de acesso ao Portal. A área de Tecnologia da Informação da CGU identificou o comportamento instável e a sobrecarga pela qual o Portal está passando e está apurando detalhes da ocorrência para identificar as causas exatas, enquanto concentra esforços, de forma prioritária, em busca de soluções para restabelecer o serviço com a maior brevidade possível. A CGU reforça o compromisso com a transparência, ao passo em que conta com a compreensão de todos os usuários. Atualização, às 13h27, de 27 01 2021 O acesso ao Portal da Transparência foi restabelecido às 8h30 desta quarta-feira, dia 27. O serviço encontra-se estável, com as transações disponíveis para consulta dos usuários. Veja nota atualizada sobre o assunto publicada em 05 03 2021
